Gene,TCGA-HZ-A9TJ-06A-11R-A41B-07,TCGA-HZ-A9TJ-01A-11R-A41I-07,TCGA-HZ-7289-01A-11R-2156-07,TCGA-US-A77E-01A-11R-A32O-07,TCGA-YH-A8SY-01A-11R-A37L-07,TCGA-HZ-A77Q-01A-11R-A36G-07,TCGA-RB-A7B8-01A-12R-A33R-07,TCGA-HZ-A4BK-01A-11R-A26U-07,TCGA-HZ-A77P-01A-11R-A33R-07,TCGA-3A-A9IV-01A-11R-A41B-07,TCGA-2J-AABH-01A-21R-A41B-07,MAX,AVG,MED,MIN
PCDHB10,167.0483,179.8458,23.5233,220.524,167.0561,133.96,81.2425,80.0386,141.1043,130.2091,193.3798,220.524,137.9938,141.1043,23.5233
ZNF253,57.5728,58.994,217.4595,93.4498,81.1916,75.2056,123.0585,106.0752,131.5184,263.2244,84.0592,263.2244,117.4371818,93.4498,57.5728
SHD,8.7231,0.5728,404.0774,4.8035,0,10.5758,2.9869,2.893,3.0675,1.6837,0,404.0774,39.94397273,2.9869,0
AMIGO1,83.3061,41.8113,18.8186,49.345,5.8411,35.2526,42.4134,68.9489,125.7669,237.407,60.5401,237.407,69.95009091,49.345,5.8411
USP29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SCUBE2,13.0847,105.3874,14.114,768.1223,1258.1776,410.1058,956.9892,272.9026,1004.2178,739.1609,193.3798,1258.1776,521.4220091,410.1058,13.0847
CCNB1IP1,491.9856,824.1979,648.7193,532.7511,382.0093,366.6275,446.8339,507.2324,490.4141,1960.4322,648.0836,1960.4322,663.5715364,507.2324,366.6275
NEUROD4,27.0418,0,0,0,0,0,0,0,0,2.8062,0,27.0418,2.713454545,0,0
PRODH2,0,0.5728,0,0,0,0,0.5974,1.4465,0,633.0854,0.8711,633.0854,57.87029091,0,0
CACNG7,1.3085,0,0,0.8734,0,0.5875,1.7921,0.9643,0.7669,341.7988,0,341.7988,31.64468182,0.7669,0
PLEKHA2,1510.8494,1053.3008,140.6168,1180.786,1274.5327,1576.9683,973.1183,878.0135,1437.5,309.2465,984.7561,1576.9683,1029.062582,1053.3008,140.6168
NCAPG,146.8891,121.963,385.8599,132.4891,291.9334,138.6545,169.3907,207.6037,143.5391,186.401,184.2683,385.8599,191.7265273,169.3907,121.963
DNAI2,0,0,2.091,0,0,1.7626,0,0,0,102.0401,0,102.0401,9.6267,0,0
C12orf43,244.6843,211.3475,187.1406,219.6507,158.8785,196.2397,249.7013,261.8129,260.3528,259.8569,195.993,261.8129,222.3325636,219.6507,158.8785
ZBTB10,99.4439,308.1435,143.7533,216.5939,220.2103,369.5652,213.2616,204.918,204.3712,456.293,181.1847,456.293,237.9762364,213.2616,99.4439
PRRG3,1.3085,1.1455,0,0.8734,11.6822,5.2879,1.1947,0,3.8344,1.6837,1.3066,11.6822,2.574263636,1.3066,0
ADIPOR2,3834.2602,3774.4711,76984.8406,2080.786,2411.215,1441.2456,1169.6535,1656.2199,1881.135,1578.7849,2721.2544,76984.8406,9048.533291,2080.786,1169.6535
PGBD5,161.8144,154.0717,35.0235,73.7991,143.1075,165.6874,173.8351,175.9884,107.7454,1782.5172,186.8467,1782.5172,287.3124,161.8144,35.0235
NEK11,169.6652,187.8644,236.8008,111.3537,107.4766,160.9871,246.1171,175.5063,167.9448,353.0237,106.2718,353.0237,183.9101364,169.6652,106.2718
PODNL1,26.6056,124.8611,49.6602,475.1092,1326.5187,541.1281,578.853,198.1678,162.9601,139.7502,175.5226,1326.5187,345.3760545,175.5226,26.6056
CHD9,1105.6591,1723.9997,351.2807,1087.3362,617.4065,981.7861,812.4253,1693.3462,1151.4571,1183.6677,922.4739,1723.9997,1057.348955,1087.3362,351.2807
ELL3,122.0674,272.0941,142.8698,313.6332,395.2804,124.6416,152.7778,115.6172,224.0107,165.8931,269.3815,395.2804,208.9333455,165.8931,115.6172
SLC35G2,272.1623,93.3595,17.7731,148.4716,88.785,226.2045,240.7407,214.5612,133.0521,85.8706,167.2474,272.1623,153.4752727,148.4716,17.7731
PRR7,26.6056,72.1674,32.9326,41.9214,75.3505,81.0811,80.0478,94.9855,43.7117,172.8638,64.4599,172.8638,71.46611818,72.1674,26.6056
TEKT1,0.4362,1.1455,5.7501,0,1.1682,1.7626,0,0,0,119.5454,0,119.5454,11.80072727,0.4362,0
SLC25A18,6.9785,12.6007,5.2274,18.3406,5.8411,12.926,9.5579,21.6972,47.1626,11.7862,7.8397,47.1626,14.54162727,11.7862,5.2274
SLC25A2,2.6169,2.291,0,3.0568,3.5047,1.1751,1.1947,0.9643,0.3834,1.1225,2.1777,3.5047,1.680645455,1.1947,0
MGARP,718.3513,1.7183,1.5682,4.3668,7.0093,4.1128,1.7921,2.893,11.1196,36.481,1.3066,718.3513,71.88354545,4.1128,1.3066
KRTAP3-3,0,0,0.5227,0,0,0,0,0,0,22.4498,0,22.4498,2.088409091,0,0
PPP1R3E,70.2213,39.5203,20.9096,115.7205,36.215,44.6533,66.3082,100.7715,110.4294,543.2861,125.4355,543.2861,115.7700636,70.2213,20.9096
COL23A1,3.9254,22.9103,9.4093,20.9607,29.2056,148.0611,28.6738,29.8939,103.5276,2.8062,13.9373,148.0611,37.57374545,22.9103,2.8062
KCNG4,11.3401,0,0,0,0,0,0,0,0,0,0,11.3401,1.030918182,0,0
ARHGAP33,254.716,219.3661,33.978,246.2882,232.4766,118.6839,277.1804,248.7946,156.8252,471.4466,341.4634,471.4466,236.4744545,246.2882,33.978
NXPE1,0,0,200.7318,0,0,0,0,0,1.9172,0,0,200.7318,18.42263636,0,0
NXPE2,0,0,314.689,1.31,0.5841,0.5875,0,0.4822,3.8344,1.6837,1.3066,314.689,29.49795455,0.5875,0
TC2N,1489.4777,2112.3292,3078.9336,3611.3537,950.3505,1060.517,1591.9952,2772.9026,1443.635,1016.4164,1100.6098,3611.3537,1838.956427,1489.4777,950.3505
LRRC28,152.219,192.4465,129.1166,198.2533,146.028,216.8038,264.0382,214.5612,212.0399,133.0153,177.2648,264.0382,185.0715091,192.4465,129.1166
B4GALNT2,1.3085,0,1901.2023,0,9.3458,2.3502,0,1.9286,0,1.6837,0,1901.2023,174.3471909,1.3085,0
OR10J5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DUSP15,30.531,14.8917,9.932,27.5109,16.9393,18.8014,20.908,30.3761,27.9908,341.2375,15.2439,341.2375,50.3966,20.908,9.932
CMPK2,156.1444,292.1063,13.5912,678.6026,426.4019,591.0693,189.3668,392.4783,224.6933,102.708,170.2962,678.6026,294.3143909,224.6933,13.5912
CIB4,3.9254,0,64.2969,0,0,0,0,0,3.8344,2.245,0,64.2969,6.7547,0,0
SOGA1,315.778,118.5608,314.689,265.0655,188.6682,260.282,240.1434,248.3124,446.319,752.6308,200.3484,752.6308,304.6179545,260.282,118.5608
ASB15,0,0,0,0,0.5841,0,0,0,0,205.416,0,205.416,18.72728182,0,0
KBTBD3,72.8383,101.9508,33.978,90.8821,49.0654,54.6416,80.0478,83.4137,90.1074,118.9841,98.1141,118.9841,79.45666364,83.4137,33.978
FBXL14,1178.9336,1881.508,13125.9801,602.1834,624.4159,518.8014,571.0872,745.9016,659.1258,759.927,1074.9129,13125.9801,1976.616082,745.9016,518.8014
SIK1,5708.8649,2171.8959,1338.735,3848.9083,4501.7523,5758.5194,1856.0335,1098.8428,1150.3067,834.0115,2831.0105,5758.5194,2827.170982,2171.8959,834.0115
RNF217,115.5556,117.4153,4.1819,37.5459,70.0935,112.7967,83.0108,81.9672,104.26,48.2615,70.0871,117.4153,76.83413636,81.9672,4.1819
CCDC167,90.2846,245.7129,495.5567,126.2009,316.0047,213.866,290.92,145.6123,158.7423,52.7571,234.7561,495.5567,215.4921455,213.866,52.7571
ARHGAP36,9549.2313,0,9.932,0,0,0,2.9869,1.4465,2.3006,0,0.4355,9549.2313,869.6666182,0.4355,0
AWAT1,0,0,4.1819,0,0.5841,0,0,0,0,15.1536,0,15.1536,1.810872727,0,0
ARX,6.9785,34.9382,127.5484,6.5502,3.5047,1.1751,15.5317,11.0897,39.8773,3788.4103,56.1847,3788.4103,371.9808,15.5317,1.1751
CYS1,23.5525,234.2578,10.9775,563.7555,490.0701,258.5194,606.9295,534.7155,630.7515,101.5855,442.0732,630.7515,354.2898182,442.0732,10.9775
RILPL2,457.093,457.0604,180.345,498.69,297.3131,822.5617,482.0789,613.7898,467.408,441.1393,285.2787,822.5617,454.7961727,457.093,180.345
C7orf33,0,0,24.5687,0,0,0,0,0,0,0,0,24.5687,2.233518182,0,0
HEPACAM2,31.8395,30.9289,7884.9974,15.7205,5.257,27.6146,23.8949,92.5747,697.8528,18057.5277,159.8432,18057.5277,2457.095564,31.8395,5.257
GOLGA6L1,0,0,0,0,23.3645,0,0,0,0,0,0,23.3645,2.124045455,0,0
VMO1,20.4994,42.384,24.046,39.738,67.757,294.9471,41.2186,103.6644,82.0552,63.4208,82.3171,294.9471,78.36796364,63.4208,20.4994
OR13C9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BRINP3,8.7231,0.5728,1456.874,5.6769,0,21.7391,1.1947,2.893,6.135,0.5612,2.1777,1456.874,136.9588636,2.893,0
ARSI,20.4994,36.0837,44.4328,243.6681,918.8084,455.9342,247.3118,45.323,128.4509,19.0824,57.9268,918.8084,201.5928636,57.9268,19.0824
XKR7,2.1808,3.4365,0,2.1834,0.5841,0,1.7921,0.4822,1.9172,210.4672,6.0976,210.4672,20.83100909,1.9172,0
YJEFN3,89.469,61.3251,0,44.5153,45.8002,20.7403,112.2043,83.1967,65.5406,10.9106,91.8467,112.2043,56.86807273,61.3251,0
RBMY1B,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CLEC2A,0,0,31.3643,0,0,0.5875,0,0,0,0,0,31.3643,2.904709091,0,0
PRR25,0,0,0,0,0.5841,0,0,0,0,0.5612,1.7422,1.7422,0.2625,0,0
GLYATL3,0,0,0,0,0,0,0,0.9643,0,1281.3245,0,1281.3245,116.5717091,0,0
LRRC26,0,2.291,1911.6571,9.1703,2.9206,9.4007,3.5842,0.9643,80.9049,2.8062,3.4843,1911.6571,184.2894182,3.4843,0
ACCSL,0,0,0,0,0,0,0,0,0.3834,0,0,0.3834,0.034854545,0,0
OR8H2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OR4F6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GPR179,4.3616,5.7276,0.5227,1.31,3.5047,0,1.7921,0.9643,4.2178,414.1995,3.9199,414.1995,40.04729091,3.5047,0
TRIM72,0,0.5728,53.8421,0,1.1682,0,0.5974,0.4822,2.684,0,0,53.8421,5.395154545,0.4822,0
VTN,0,0,0,0,0,0,0,0,0.3834,8.4243,0,8.4243,0.8007,0,0
GOLGA6L6,0.4362,0.5728,0,0,29.2056,0,0,0,0,0,0,29.2056,2.746781818,0,0
NXF2,1.3085,0,0,0,0,0,0,0,0,125.4497,4.216,125.4497,11.90674545,0,0
ARHGEF33,10.0316,8.5914,42.8646,5.6769,6.4252,14.1011,14.9343,18.3221,23.773,8.9799,6.5331,42.8646,14.56665455,10.0316,5.6769
