Gene,TCGA-HZ-A9TJ-06A-11R-A41B-07,TCGA-HZ-A9TJ-01A-11R-A41I-07,TCGA-HZ-7289-01A-11R-2156-07,TCGA-US-A77E-01A-11R-A32O-07,TCGA-YH-A8SY-01A-11R-A37L-07,TCGA-HZ-A77Q-01A-11R-A36G-07,TCGA-RB-A7B8-01A-12R-A33R-07,TCGA-HZ-A4BK-01A-11R-A26U-07,TCGA-HZ-A77P-01A-11R-A33R-07,TCGA-3A-A9IV-01A-11R-A41B-07,TCGA-2J-AABH-01A-21R-A41B-07,MAX,AVG,MED,MIN
KIT,175.3353,148.9169,409.3048,174.6725,274.5327,475.3231,137.9928,686.5959,493.0982,117.3004,106.7073,686.5959,290.8890818,175.3353,106.7073
LAMP1,7215.3527,9962.5417,8390.4861,8962.0087,10264.0187,8713.866,7433.6918,6838.4764,8089.7239,9849.3055,11309.669,11309.669,8820.830955,8713.866,6838.4764
LHB,24.4248,10.3096,2.6137,12.2271,2.3364,4.7004,5.9737,23.6258,2.684,0.5612,13.5017,24.4248,9.359854545,5.9737,0.5612
LIMK1,1272.7074,730.8384,900.1568,1372.0524,2065.4206,1541.1281,1651.7324,1500.9643,890.3374,771.7132,1337.9791,2065.4206,1275.911827,1337.9791,730.8384
MAS1,0,0,0,0,0,0,0,0,0,46.5834,0,46.5834,4.234854545,0,0
MC2R,1567.5499,2.291,0,3.4934,0,12.3384,1.7921,14.4648,1.1503,0.5612,1.3066,1567.5499,145.9043364,1.7921,0
MET,6118.8529,3094.6081,6779.4041,4131.441,2081.7757,2335.4877,2192.951,2568.4667,1445.1687,869.9312,4163.7631,6779.4041,3252.895473,2568.4667,869.9312
MLF1,352.4152,986.2882,1979.6132,298.69,391.3551,446.5335,102.7479,147.0588,247.6994,647.6778,246.5157,1979.6132,531.5086182,352.4152,102.7479
MMP3,0.4362,16.0372,648.1965,34.4978,789.1355,152.1739,74.0741,33.269,52.1472,2.245,16.9861,789.1355,165.3816818,34.4978,0.4362
MUC2,24.861,54.9847,507190.7998,4821.3974,1.7523,146.886,0,22.6615,9730.0613,0,0.4355,507190.7998,47453.98541,24.861,0
NAGLU,1134.0094,943.3314,1723.471,1596.0699,1101.6355,1377.7908,1455.7945,1026.0366,1042.9448,4594.3595,1917.6829,4594.3595,1628.466027,1377.7908,943.3314
NEUROD2,0,0.5728,0,0.4367,0,0,0,0,0,1079.8372,0,1079.8372,98.25879091,0,0
NTRK1,439.2106,8.5914,0,3.4934,20.4439,27.6146,16.129,26.0366,63.6503,2.245,13.0662,439.2106,56.40736364,16.129,0
NTRK3,18.3186,19.4738,2.091,8.7336,1.7523,96.3572,9.5579,9.6432,49.8466,6.735,5.662,96.3572,20.74283636,9.5579,1.7523
OPRK1,0,1.1455,166.7538,0,0.5841,2.3502,0,0.4822,4.9847,28.0623,0,166.7538,18.57843636,0.5841,0
PCSK1,198.8878,62.4306,6395.1908,74.6725,19.2757,277.9083,144.5639,67.0203,261.5031,64677.4239,640.6794,64677.4239,6619.959664,198.8878,19.2757
PDGFRA,754.9231,1074.4986,585.6769,2328.2314,2782.9439,4964.3008,1977.7121,2777.9605,3402.059,1133.2398,1013.4974,4964.3008,2072.276682,1977.7121,585.6769
PDGFRB,2411.0784,5036.2555,1390.4861,8241.4847,13886.6822,9475.9107,9924.1338,7940.2122,4562.5,3698.0497,5540.5052,13886.6822,6555.208955,5540.5052,1390.4861
PEX13,857.0494,1067.047,706.7433,922.7074,688.6682,733.8425,633.2139,676.4706,509.2025,417.567,611.9338,1067.047,711.3132364,688.6682,417.567
PGM5,460.5823,120.8518,79.4564,71.6157,25.1168,354.2891,140.9797,179.8457,6997.6994,101.0243,84.9303,6997.6994,783.3083182,120.8518,25.1168
MAP2K1,1236.0222,1050.3167,1509.1479,1341.1397,1355.1811,1757.6557,1139.8805,1453.3944,1106.1465,1043.7716,1088.8981,1757.6557,1280.141309,1236.0222,1043.7716
MAP2K2,2253.6256,2638.1204,5593.3089,2389.083,2051.986,2222.6792,2807.6464,3118.1292,2099.6933,3878.2096,2432.9268,5593.3089,2862.309855,2432.9268,2051.986
PRODH,60.1897,36.0837,2523.7846,34.0611,125.5841,28.2021,75.8662,60.27,250.3834,19.0824,7.4042,2523.7846,292.8101364,60.1897,7.4042
PROS1,360.2661,789.8324,351.8035,841.048,475.4673,1980.0235,890.681,1148.0231,1786.0429,443.9456,1133.7108,1980.0235,927.3494727,841.048,351.8035
PTK6,1920.8374,1441.6303,1683.2201,2096.0699,938.0841,732.0799,1086.6189,1382.3529,753.0675,6.735,1837.108,2096.0699,1261.618545,1382.3529,6.735
RAD52,174.8991,187.5379,382.1955,105.6769,192.1729,79.906,101.2186,158.6307,105.0613,103.8305,135.9451,382.1955,157.0067727,135.9451,79.906
RAF1,1767.31,1824.2322,1936.7486,2092.1397,1441.5888,1860.1645,1727.5986,1694.3105,2018.4049,875.5437,2000,2092.1397,1748.912864,1824.2322,875.5437
RBP2,1.3085,1.1455,6.7956,127.9476,2.3364,0,11.3501,4.3394,5.3681,0,3.0488,127.9476,14.87636364,3.0488,0
RET,808.6359,27.4924,159.4354,19.214,23.9486,37.0153,17.3238,31.8226,143.0215,835.134,13.5017,835.134,192.4132,31.8226,13.5017
