Gene,TCGA-CQ-A4CD-01A-21R-A24Z-07,TCGA-RQ-A6JB-01A-11R-A31O-07,TCGA-IF-A4AJ-01A-11R-A24X-07,TCGA-DX-A3UA-01A-12R-A30C-07,MAX,AVG,MED,MIN
DLGAP4,2221.8795,1322.0677,4289.1156,4736.3807,4736.3807,3142.360875,3255.49755,1322.0677
NINL,184.5518,357.0956,362.8118,490.2943,490.2943,348.688375,359.9537,184.5518
UNC13A,4.1472,43.2381,20.9751,427.0507,427.0507,123.852775,32.1066,4.1472
ERP44,2353.0357,2397.9327,1279.4785,2885.4101,2885.4101,2228.96425,2375.4842,1279.4785
FRMD4B,381.5453,239.5898,816.3265,1663.7445,1663.7445,775.301525,598.9359,239.5898
AIPL1,1.5552,0,6.8027,0,6.8027,2.089475,0.7776,0
NGEF,350.9595,46.7989,9.6372,63.8698,350.9595,117.81635,55.33435,9.6372
DNAJB5,849.1457,500.0356,2135.4875,287.4139,2135.4875,943.020675,674.59065,287.4139
HINFP,174.1837,424.2418,505.6689,284.283,505.6689,347.09435,354.2624,174.1837
EDRF1,314.1528,873.9178,294.7846,263.6193,873.9178,436.618625,304.4687,263.6193
GIMAP2,297.5639,229.9248,242.6304,322.4796,322.4796,273.149675,270.09715,229.9248
CNTN6,0,2.0347,163.8322,2.5047,163.8322,42.0929,2.2697,0
NKIRAS2,1227.0622,1007.1928,2139.4558,2032.5611,2139.4558,1601.567975,1629.81165,1007.1928
ATAD2,1851.7391,1398.3702,3947.8458,1202.2542,3947.8458,2100.052325,1625.05465,1202.2542
ANKRD11,2932.7617,2591.624,2244.4501,3956.0551,3956.0551,2931.222725,2762.19285,2244.4501
OBP2A,171.0733,1.526,0,1.8785,171.0733,43.61945,1.70225,0
RDH8,3.6288,0.5087,0.5669,1.8785,3.6288,1.645725,1.2227,0.5087
MTFP1,1099.5349,1020.8662,110.5442,411.9098,1099.5349,660.713775,716.388,110.5442
ARMCX3,449.9747,925.2948,2278.9116,3270.5072,3270.5072,1731.172075,1602.1032,449.9747
NDUFB11,1745.4662,1770.2176,1552.1542,1575.454,1770.2176,1660.823,1660.4601,1552.1542
WDR5B,139.9691,269.0934,401.9274,251.0958,401.9274,265.521425,260.0946,139.9691
TTC12,50.2852,199.4038,155.3288,161.5529,199.4038,141.642675,158.44085,50.2852
ARMC1,405.9103,786.4243,1454.0816,959.9249,1454.0816,901.585275,873.1746,405.9103
PARL,1220.323,829.1537,612.2449,437.6957,1220.323,774.854325,720.6993,437.6957
ANKRD10,941.4216,1371.2981,3838.2086,1206.0113,3838.2086,1839.2349,1288.6547,941.4216
THUMPD1,649.0418,957.3418,1371.8821,807.7646,1371.8821,946.507575,882.5532,649.0418
KANSL3,724.7288,986.3368,2786.8481,800.8766,2786.8481,1324.697575,893.6067,724.7288
RADIL,12.9601,16.2779,71.4286,13.7758,71.4286,28.6106,15.02685,12.9601
POLR3E,794.1949,798.6327,723.9229,449.593,798.6327,691.585875,759.0589,449.593
PARVA,905.1334,601.7723,2298.7528,4120.2254,4120.2254,1981.470975,1601.9431,601.7723
PCDHB3,6.7393,2.0347,22.1088,113.9637,113.9637,36.211625,14.42405,2.0347
CPA6,19.1809,1.526,1.7007,653.7257,653.7257,169.033325,10.4408,1.526
GRAMD1B,916.5383,175.4957,21.542,64.4959,916.5383,294.517975,119.9958,21.542
SLAIN2,518.404,786.9329,2862.2449,2303.0683,2862.2449,1617.662525,1545.0006,518.404
SLC7A14,0,0,0,860.9894,860.9894,215.24735,0,0
TP53INP2,237.9474,453.7454,2028.9116,1377.583,2028.9116,1024.54685,915.6642,237.9474
BCAN,93.8311,42.2207,65.1927,2130.2442,2130.2442,582.872175,79.5119,42.2207
SMOC1,13544.341,17.8039,3409.8639,197.871,13544.341,4292.46995,1803.86745,17.8039
PRAMEF2,0,0,0,0,0,0,0,0
FTO,631.4161,817.4539,878.1179,1326.2367,1326.2367,913.30615,847.7859,631.4161
RBM42,2379.4743,2165.9732,1862.2449,2460.8641,2460.8641,2217.139125,2272.72375,1862.2449
RHBDF2,2203.217,1596.7566,386.0544,265.4978,2203.217,1112.88145,991.4055,265.4978
NEK11,19.1809,24.9255,92.4036,60.1127,92.4036,49.155675,42.5191,19.1809
ADAMTS20,83.463,188.2128,0,1.8785,188.2128,68.388575,42.67075,0
HMCN1,89.6839,430.8547,43.6508,1990.6074,1990.6074,638.6992,260.2693,43.6508
TKTL2,0,0.5087,1.7007,0,1.7007,0.55235,0.25435,0
DCUN1D5,10823.2385,570.7426,270.9751,375.7044,10823.2385,3010.16515,473.2235,270.9751
REPS1,906.6886,854.5878,448.4127,422.6675,906.6886,658.08915,651.50025,422.6675
GALP,0,0,0,0,0,0,0,0
WNT3A,148.2635,7.6302,1.1338,0,148.2635,39.256875,4.382,0
ZNF468,146.1899,211.1035,272.1088,250.4696,272.1088,219.96795,230.78655,146.1899
PAGE5,0,1.526,0,848.4659,848.4659,212.497975,0.763,0
SPOCD1,175.2205,90.0369,373.5828,48.2154,373.5828,171.7639,132.6287,48.2154
IL33,1507.0004,100.2106,2445.0113,279.2736,2445.0113,1082.873975,893.137,100.2106
ACBD5,557.8027,526.9958,395.1247,788.9793,788.9793,567.225625,542.39925,395.1247
TMEM169,345.2571,10.1737,23.8095,9.3926,345.2571,97.158225,16.9916,9.3926
CSMD3,302.2295,0,0,41.3275,302.2295,85.88925,20.66375,0
KLHDC3,1368.0681,1937.5744,2067.4603,1904.8215,2067.4603,1819.481075,1921.19795,1368.0681
COMTD1,539.6586,130.7316,31.1791,94.5523,539.6586,199.0304,112.64195,31.1791
ANAPC16,1980.3032,2879.147,1043.6508,924.2329,2879.147,1706.833475,1511.977,924.2329
PRR20A,0,0,0,0,0,0,0,0
SLC51B,0,0,2.2676,0,2.2676,0.5669,0,0
NDUFA11,1361.8473,2283.9877,1921.2018,2110.8328,2283.9877,1919.4674,2016.0173,1361.8473
OR2B11,9.8497,0,0,1.2523,9.8497,2.7755,0.62615,0
FCRLB,65.8373,40.6947,22.6757,2598.6224,2598.6224,681.957525,53.266,22.6757
EDARADD,714.3607,102.754,246.5986,2544.1453,2544.1453,901.96465,480.47965,102.754
DUSP15,1.5552,229.9248,21.542,47.5892,229.9248,75.1528,34.5656,1.5552
CPEB2,366.5116,191.7736,899.093,274.8904,899.093,433.06715,320.701,191.7736
